pgmap_name,xcontest_name
Raná JV,Raná
Raná SZ,Raná
Javorový,Javorový
Kozákov,Kozákov
Černá hora,Černá hora
Krupka,Krupka
Svatobor,Svatobor
Dolní Morava,Dolní Morava
Slamník,Dolní Morava
Pálava - Děvín,Pálava/Děvín
Svatobor SV,Svatobor
Svatobor JZ,Svatobor
Jeviněves,Jeviněves
Doubrava,Doubrava
Uhřínov - Hrabůvka (nový),Uhřínov
Zvičina S,Zvičina
Zvičina V,Zvičina
Čerťák,Čerťák
Švihov,Švihov
Kalovy,Kalovy
Brná,Brná
Srbce,Srbce
Mokropsy,Cukrák
Zásada,Zásada
Rašovka,Rašovka
Velký Javorník,Velký Jav...